nodes,type,public_key,hash_public,available
http://172.31.50.86:5001/,miner,c58c59892d723d70ed46fd217df49c937fd0a32d6f7729aff6de1e669dee5a923868e7697e765e11f2a7a72569744f20127e8fc4c8f8d4eb009429a6317127ce,b03e381f67d956c693448931671d77d0b24eac3da549669c3261801d107f2315,1
http://172.31.50.86:5002/,miner,05e61564bf4ede0a6391147915c3bc5bef948dea7ca365205bb855a4027dc6c4232f8bed58a51bca37353f0121eb1bccb68a8dbef5ca13c783c145c9f36f897c,051ba26cadf4895949d694d38be3848da1c676eaccda286371ddf28e6eac608b,1
http://172.31.50.86:5003/,miner,none,none,0
http://172.31.50.86:5004/,miner,none,none,0
http://172.31.50.86:5005/,miner,none,none,0
http://172.31.50.86:5006/,miner,none,none,0
http://172.31.50.86:5007/,miner,none,none,0
http://172.31.50.86:5008/,miner,none,none,0
http://172.31.50.86:5009/,miner,none,none,0
http://172.31.50.86:5010/,miner,none,none,0
http://172.31.50.86:5011/,user,none,none,0
http://172.31.50.86:5012/,user,none,none,0
http://172.31.50.86:5013/,user,a8ca1079a6779911b1f7c1cbe4f603bb00a7718a34b24f4ca98a90c10c23f81b098a209fc232cb7ac876b4340e035842690bf969553c3cde10d2aad6e60b085d,e7826f9c2a1a2f6e22cb8480860b3767d732e56134bbce892cf2e3cd8e4027fb,1
http://172.31.50.86:5014/,user,none,none,0
http://172.31.50.86:5015/,user,none,none,0
http://172.31.50.86:5016/,user,0718059b0fb5fce3e46e4966c11a9dcfb2f28f8d2e21b3f944eaf22ea43d3ae6ca0ff2002eef5c2c6300988b9072076efaa420112dbedf06fa380f7efe0c702e,a13e85f6d9e2dd83e8d7b6b9e6ae60baf41b5d076c1cf615770cd35c1c7da84b,1
http://172.31.50.86:5017/,user,none,none,0
http://172.31.50.86:5018/,user,none,none,0
http://172.31.50.86:5019/,user,none,none,0
http://172.31.50.86:5020/,user,none,none,0
http://172.31.50.86:5021/,user,none,none,0
http://172.31.50.86:5022/,user,none,none,0
http://172.31.50.86:5023/,user,none,none,0
http://172.31.50.86:5024/,user,none,none,0
http://172.31.50.86:5025/,user,none,none,0
